Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession
"secreted RxLR effector peptide protein, putative [Phytophthora infestans T30-4]",Phytophthora infestans T30-4,1389,1389,100%,0,100,678,XP_002896931.1
hypothetical protein PInf_006398 [Phytophthora infestans],Phytophthora infestans,1190,1190,85%,0,99.83,579,KAI9984868.1
"secreted RxLR effector peptide protein, putative [Phytophthora infestans T30-4]",Phytophthora infestans T30-4,932,1355,98%,0,90.62,508,XP_002896947.1
hypothetical protein GN958_ATG18931 [Phytophthora infestans],Phytophthora infestans,783,863,97%,0,59.73,609,KAF4131898.1
hypothetical protein PInf_006409 [Phytophthora infestans],Phytophthora infestans,742,1091,83%,0,89.3,409,KAI9984874.1
hypothetical protein PInf_006458 [Phytophthora infestans],Phytophthora infestans,741,1090,83%,0,89.05,409,KAI9984904.1
Putative RxLR effector [Phytophthora palmivora],Phytophthora palmivora,512,512,98%,7.00E-169,42.71,721,POM73314.1
hypothetical protein PHYPSEUDO_014425 [Phytophthora pseudosyringae],Phytophthora pseudosyringae,506,506,100%,4.00E-167,40.71,695,KAG7387331.1
Avirulence protein (Avh) [Phytophthora palmivora],Phytophthora palmivora,494,1072,96%,3.00E-162,43.33,697,POM73220.1
hypothetical protein F444_13250 [Phytophthora nicotianae P1976],Phytophthora nicotianae P1976,480,480,97%,3.00E-157,41.39,661,ETO70252.1
hypothetical protein F444_13225 [Phytophthora nicotianae P1976],Phytophthora nicotianae P1976,477,477,99%,4.00E-156,39.97,677,ETO70277.1
hypothetical protein AM587_10010280 [Phytophthora nicotianae],Phytophthora nicotianae,477,477,99%,5.00E-156,39.97,677,KUF78076.1
hypothetical protein F441_13186 [Phytophthora nicotianae CJ01A1],Phytophthora nicotianae CJ01A1,477,477,97%,5.00E-156,41.09,661,ETP11285.1
hypothetical protein F443_22784 [Phytophthora nicotianae P1569],Phytophthora nicotianae P1569,476,476,97%,6.00E-156,41.24,661,ETI30095.1
hypothetical protein AM587_10001452 [Phytophthora nicotianae],Phytophthora nicotianae,476,476,99%,9.00E-156,39.97,677,KUF86493.1
hypothetical protein F443_13150 [Phytophthora nicotianae P1569],Phytophthora nicotianae P1569,476,476,99%,3.00E-155,39.97,694,ETI41618.1
hypothetical protein F442_13024 [Phytophthora nicotianae P10297],Phytophthora nicotianae P10297,475,475,99%,4.00E-155,39.82,677,ETP39517.1
hypothetical protein PPTG_03195 [Phytophthora nicotianae INRA-310],Phytophthora nicotianae INRA-310,475,475,99%,4.00E-155,39.97,691,XP_008894121.1
hypothetical protein PPTG_03190 [Phytophthora nicotianae INRA-310],Phytophthora nicotianae INRA-310,475,475,99%,4.00E-155,39.97,677,XP_008894116.1
hypothetical protein F441_13107 [Phytophthora nicotianae CJ01A1],Phytophthora nicotianae CJ01A1,475,475,99%,6.00E-155,39.82,694,ETP11372.1
hypothetical protein F441_13104 [Phytophthora nicotianae CJ01A1],Phytophthora nicotianae CJ01A1,473,473,99%,2.00E-154,39.68,677,ETP11375.1
hypothetical protein L915_12844 [Phytophthora nicotianae],Phytophthora nicotianae,473,473,99%,3.00E-154,39.68,694,ETK81673.1
Putative RxLR effector [Phytophthora palmivora],Phytophthora palmivora,470,470,100%,3.00E-153,39.77,675,POM81594.1
hypothetical protein P3T76_010363 [Phytophthora citrophthora],Phytophthora citrophthora,473,473,95%,7.00E-153,40.77,785,KAK1935668.1
hypothetical protein L916_12833 [Phytophthora nicotianae],Phytophthora nicotianae,468,468,97%,2.00E-152,40.63,661,ETL34990.1
Zinc finger FYVE domain-containing protein 9 [Phytophthora nicotianae],Phytophthora nicotianae,464,648,89%,6.00E-152,41.74,599,KUF78780.1
hypothetical protein PHMEG_00020617 [Phytophthora megakarya],Phytophthora megakarya,465,465,100%,2.00E-151,39.44,672,OWZ07043.1
hypothetical protein PF003_g11432 [Phytophthora fragariae],Phytophthora fragariae,464,464,99%,7.00E-151,40.23,682,KAE8905246.1
hypothetical protein PR002_g5128 [Phytophthora rubi],Phytophthora rubi,462,462,93%,2.00E-150,42.01,675,KAE9040125.1
hypothetical protein PF003_g11424 [Phytophthora fragariae],Phytophthora fragariae,462,462,96%,4.00E-150,40.4,686,KAE8904971.1
RxLR128 [Phytophthora capsici],Phytophthora capsici,458,458,98%,1.00E-148,39,669,AMJ52088.1
hypothetical protein PRNP1_015175 [Phytophthora ramorum],Phytophthora ramorum,457,457,99%,5.00E-148,37.89,677,KAL4140100.1
hypothetical protein PI125_g12471 [Phytophthora idaei],Phytophthora idaei,449,449,88%,2.00E-146,40.64,590,KAG3107710.1
hypothetical protein V7S43_008604 [Phytophthora oleae],Phytophthora oleae,452,452,99%,3.00E-146,39.21,667,KAL3666352.1
